    93/299     3.11G   0.02304  0.005627         0   0.02866         7       640    0.9675    0.9313     0.971     0.627   0.02399  0.004042         0
    94/299     3.11G   0.02141  0.005643         0   0.02706        12       640    0.9867    0.9313    0.9668    0.6093   0.02449  0.004171         0
    95/299     3.11G    0.0219  0.005446         0   0.02735         4       640    0.9597       0.9    0.9599    0.6078   0.02498  0.004266         0
    96/299     3.11G    0.0223  0.005168         0   0.02747         8       640    0.9866    0.9186    0.9745    0.6172   0.02435  0.004059         0
    97/299     3.11G   0.02125   0.00541         0   0.02666         2       640    0.9764    0.9156    0.9573    0.6021   0.02525  0.004273         0
    98/299     3.11G   0.02082  0.005424         0   0.02625         5       640    0.9829    0.8969    0.9685     0.632   0.02364  0.004051         0
    99/299     3.11G   0.02157  0.005469         0   0.02704         4       640    0.9415    0.9562    0.9712    0.5971   0.02481  0.004202         0
   100/299     3.11G   0.02071  0.005187         0   0.02589         4       640    0.9739    0.9343     0.971    0.6105   0.02401  0.004189         0
   101/299     3.11G   0.02062  0.005374         0     0.026         7       640    0.9837    0.9435    0.9717     0.614   0.02438  0.004017         0
   102/299     3.11G   0.02091  0.005446         0   0.02636         5       640    0.9673    0.9313    0.9716    0.6233   0.02375  0.003973         0
   103/299     3.11G   0.02012  0.004984         0    0.0251         4       640    0.9867     0.925    0.9683    0.6179   0.02412  0.004068         0
   104/299     3.11G   0.02094  0.005476         0   0.02642         4       640    0.9608    0.9219    0.9628     0.607   0.02466   0.00427         0
   105/299     3.11G   0.02063  0.005315         0   0.02595         5       640    0.9836    0.9374    0.9743    0.6182   0.02497  0.004216         0
   106/299     3.11G   0.02163  0.005184         0   0.02681         7       640    0.9399     0.928    0.9479    0.6096   0.02434  0.004245         0
   107/299     3.11G   0.01981  0.004872         0   0.02468         3       640    0.9644    0.9313    0.9727    0.6312   0.02332  0.003889         0
   108/299     3.11G     0.021  0.004957         0   0.02596         4       640    0.9697    0.8999    0.9633    0.6179   0.02438   0.00419         0
   109/299     3.11G   0.01998  0.005046         0   0.02502         5       640    0.9678    0.9405    0.9717    0.6284   0.02376  0.004057         0
   110/299     3.11G   0.02002  0.005075         0   0.02509         6       640    0.9712    0.9469    0.9785    0.6301   0.02334  0.004026         0
   111/299     3.11G   0.02056  0.005096         0   0.02565         3       640    0.9898    0.9156    0.9758    0.6294   0.02326  0.003913         0
   112/299     3.11G   0.02009  0.005119         0   0.02521         5       640    0.9772    0.9375    0.9709    0.6194   0.02345  0.004045         0
   113/299     3.11G   0.01914  0.005163         0    0.0243         2       640    0.9618    0.9437     0.973     0.624   0.02373  0.004076         0
   114/299     3.11G   0.02022  0.004878         0    0.0251         3       640    0.9651    0.9499    0.9708    0.6238   0.02355  0.004233         0
   115/299     3.11G   0.02005  0.005207         0   0.02526         4       640    0.9735    0.9219    0.9686    0.6188   0.02314  0.004216         0
   116/299     3.11G   0.02011  0.005078         0   0.02519         3       640    0.9742    0.9437    0.9728    0.6147   0.02417   0.00406         0
   117/299     3.11G   0.01989  0.004909         0    0.0248         7       640    0.9806    0.9469    0.9724    0.6336   0.02316  0.004013         0
   118/299     3.11G   0.01959  0.004935         0   0.02453         5       640    0.9619    0.9469     0.974     0.623   0.02416  0.004217         0
   119/299     3.11G   0.01993  0.005224         0   0.02515         8       640    0.9743      0.95    0.9742    0.6315    0.0236  0.004043         0
   120/299     3.11G   0.01894  0.004965         0    0.0239         7       640    0.9684    0.9594    0.9797    0.6336   0.02324  0.003926         0
   121/299     3.11G   0.01885  0.004718         0   0.02356         4       640    0.9709    0.9437    0.9777    0.6465   0.02335  0.003995         0
   122/299     3.11G   0.01917  0.004968         0   0.02414         7       640    0.9773    0.9406    0.9742    0.6356   0.02313  0.004046         0
   123/299     3.11G   0.01887   0.00499         0   0.02386         4       640    0.9713    0.9531    0.9712    0.6368   0.02299  0.004051         0
   124/299     3.11G   0.01925   0.00489         0   0.02414         5       640    0.9706    0.9344     0.964     0.631   0.02338  0.004049         0
   125/299     3.11G   0.01882  0.004963         0   0.02378         4       640    0.9683     0.953    0.9874    0.6519    0.0226  0.003817         0
   126/299     3.11G   0.01923   0.00479         0   0.02402         4       640     0.962      0.95    0.9694    0.6419   0.02305   0.00399         0
   127/299     3.11G   0.01838  0.004888         0   0.02327         3       640    0.9736    0.9216    0.9691    0.6263   0.02355  0.004212         0
   128/299     3.11G   0.01906  0.004936         0   0.02399         6       640    0.9611    0.9281    0.9626    0.6068   0.02385  0.004249         0
   129/299     3.11G   0.01868  0.004536         0   0.02322         4       640    0.9802    0.9281    0.9701    0.6298    0.0234  0.004043         0
   130/299     3.11G   0.01862  0.004875         0   0.02349         5       640    0.9621    0.9594    0.9779    0.6259   0.02341  0.004046         0
   131/299     3.11G   0.01887  0.005136         0   0.02401         5       640    0.9558    0.9468    0.9822    0.6369   0.02284  0.003818         0
   132/299     3.11G   0.01844  0.004908         0   0.02335         2       640    0.9642     0.925    0.9674    0.6385   0.02274  0.004096         0
   133/299     3.11G    0.0185  0.004639         0   0.02314         4       640    0.9704    0.9217    0.9722    0.6208   0.02361  0.004146         0
   134/299     3.11G   0.01854  0.004749         0   0.02328         6       640     0.977    0.9312    0.9727     0.628   0.02348  0.004075         0
   135/299     3.11G   0.01859  0.005031         0   0.02362         7       640    0.9773    0.9406     0.979    0.6373   0.02338  0.003861         0
   136/299     3.11G   0.01847  0.004808         0   0.02327         2       640    0.9682      0.95    0.9768    0.6514    0.0222  0.004134         0
   137/299     3.11G   0.01817  0.004638         0   0.02281         7       640    0.9502     0.953    0.9713    0.6378   0.02276  0.004067         0
   138/299     3.11G   0.01841  0.004717         0   0.02313         2       640    0.9529      0.95    0.9716    0.6231   0.02378  0.004285         0
   139/299     3.11G   0.01852  0.004637         0   0.02315         7       640    0.9646    0.9437    0.9707    0.6406   0.02301  0.004175         0
   140/299     3.11G   0.01848  0.004925         0    0.0234         7       640    0.9838    0.9468    0.9804    0.6402   0.02355  0.003955         0
   141/299     3.11G   0.01824  0.004588         0   0.02283         8       640    0.9773    0.9435    0.9747    0.6477   0.02336  0.004038         0
   142/299     3.11G   0.01786  0.004879         0   0.02274         6       640     0.971    0.9405    0.9735    0.6378   0.02295  0.004095         0
   143/299     3.11G   0.01816  0.004527         0   0.02269         6       640      0.95    0.9499      0.97    0.6351   0.02296  0.004113         0
   144/299     3.11G   0.01778   0.00449         0   0.02227         6       640    0.9899    0.9187    0.9702    0.6318   0.02368  0.004091         0
   145/299     3.11G   0.01767  0.004505         0   0.02217         4       640    0.9838    0.9563    0.9742    0.6377   0.02321  0.003981         0
   146/299     3.11G   0.01796   0.00498         0   0.02294         4       640    0.9836    0.9343    0.9718    0.6419   0.02311  0.004021         0
   147/299     3.11G   0.01832  0.004775         0   0.02309         7       640    0.9833    0.9187    0.9716    0.6247   0.02318  0.004179         0
   148/299     3.11G   0.01813  0.004533         0   0.02266         2       640    0.9769    0.9344    0.9746    0.6394   0.02316  0.004151         0
   149/299     3.11G   0.01827  0.004638         0   0.02291         5       640     0.974    0.9373    0.9764    0.6316   0.02313  0.004081         0
   150/299     3.11G   0.01734  0.004711         0   0.02205         7       640    0.9682    0.9529    0.9748    0.6512   0.02278  0.004223         0
   151/299     3.11G   0.01731   0.00438         0   0.02169         4       640    0.9806    0.9469    0.9806    0.6487   0.02255  0.003987         0
